mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	17
1	1	0	0	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4	4
1	1	0	0	0.5	0	0	4/4	2	1	1/8	1/8	1		3	69	A4	4	10
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	0
1	1	1/2	1/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	5
1	1	1/2	1/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		8	68	G#4	4	11
1	1	1	1	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		5	59	B3	3	18
1	1	1	1	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	12
1	1	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	6
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	1
1	1	3/2	3/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	19
1	1	3/2	3/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	13
1	1	2	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		8	56	G#3	3	20
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	14
1	1	2	2	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		5	71	B4	4	7
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	2
1	1	5/2	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	21
1	1	5/2	5/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	8
1	1	3	3	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	22
1	1	3	3	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	15
1	1	3	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	9
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	3
1	1	7/2	7/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	16
2	2	4	4	0.5	0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	38
2	2	4	4	0.5	0	0	4/4	2	1	1/8	1/8	1		3	57	A3	3	32
2	2	4	4	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	27
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	23
2	2	9/2	9/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	39
2	2	9/2	9/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	33
2	2	5	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	40
2	2	5	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	34
2	2	5	5	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	28
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	24
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	35
2	2	11/2	11/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	29
2	2	6	6	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	41
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	36
2	2	6	6	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		8	68	G#4	4	30
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	25
2	2	7	7	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	42
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	37
2	2	7	7	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	31
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	26
3	3	8	8	1.0	0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3	60
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	54
3	3	8	8	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4	48
3	3	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	43
3	3	17/2	17/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	49
3	3	9	9	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	61
3	3	9	9	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	55
3	3	9	9	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	50
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	44
3	3	19/2	19/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	56
3	3	10	10	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		7	49	C#3	3	62
3	3	10	10	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		7	61	C#4	4	57
3	3	10	10	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		3	69	A4	4	51
3	3	10	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	45
3	3	21/2	21/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	58
3	3	21/2	21/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	52
3	3	11	11	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	63
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	59
3	3	11	11	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	53
3	3	11	11	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		2	74	D5	5	46
3	3	23/2	23/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	64
3	3	23/2	23/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	47
4	4	12	12	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	76
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	72
4	4	12	12	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4	68
4	4	12	12	1.5	0	0	4/4	1	1	3/8	1/4	3/2		5	71	B4	4	65
4	4	25/2	25/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	69
4	4	13	13	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	77
4	4	13	13	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	73
4	4	13	13	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	70
4	4	27/2	27/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	74
4	4	27/2	27/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	66
