mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	3
1	0	0	0	1.0	0	1/2	3/4	2	1	1/4	1/4	1		6	66	F#4	4	2
1	0	0	0	1.0	0	1/2	3/4	1	2	1/4	1/4	1		3	69	A4	4	1
1	0	0	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	0
2	1	1	1	1.0	0	0	3/4	2	2	1/4	1/4	1		5	47	B2	2	10
2	1	1	1	2.0	0	0	3/4	2	1	1/2	1/2	1		6	66	F#4	4	8
2	1	1	1	2.0	0	0	3/4	1	2	1/2	1/2	1		5	71	B4	4	6
2	1	1	1	2.0	0	0	3/4	1	1	1/2	1/2	1		2	74	D5	5	4
2	1	2	2	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		2	50	D3	3	11
2	1	3	3	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		6	54	F#3	3	12
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	66	F#4	4	9
2	1	3	3	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		3	69	A4	4	7
2	1	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	5
3	2	4	4	1.0	0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	19
3	2	4	4	2.0	0	0	3/4	2	1	1/2	1/2	1		2	62	D4	4	17
3	2	4	4	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	15
3	2	4	4	2.0	0	0	3/4	1	1	1/2	1/2	1		5	71	B4	4	13
3	2	5	5	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		5	59	B3	3	20
3	2	6	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	18
3	2	6	6	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	62	D4	4	21
3	2	6	6	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		6	66	F#4	4	16
3	2	6	6	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	14
4	3	7	7	1.0	0	0	3/4	2	2	1/4	1/4	1		5	59	B3	3	29
4	3	7	7	2.0	0	0	3/4	2	1	1/2	1/2	1		2	62	D4	4	27
4	3	7	7	1.0	0	0	3/4	1	2	1/4	1/4	1		6	66	F#4	4	24
4	3	7	7	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	22
4	3	8	8	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		1	55	G3	3	30
4	3	8	8	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		5	71	B4	4	25
