mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	3
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	2
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	0
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	12
2	1	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	17
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	8
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	4
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	18
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	13
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	9
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	5
2	1	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	19
2	1	3	3	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		5	59	B3	3	14
2	1	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	10
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	6
2	1	7/2	7/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	15
2	1	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	20
2	1	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	57	A3	3	11
2	1	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	16
2	1	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	7
3	2	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		1	43	G2	2	32
3	2	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		5	59	B3	3	24
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	28
3	2	5	5	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4	21
3	2	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	33
3	2	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	57	A3	3	25
3	2	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	29
3	2	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	34
3	2	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	57	A3	3	26
3	2	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	30
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	22
3	2	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		10	46	A#2	2	35
3	2	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	31
3	2	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	27
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	23
4	3	9	9	0.5	0	0	4/4	2	2	1/8	1/8	1		5	47	B2	2	50
4	3	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	46
4	3	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	41
4	3	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	36
4	3	19/2	19/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	51
4	3	10	10	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	52
4	3	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	47
4	3	10	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	42
