mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	9
1	1	0	0	1.0	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	6
1	1	0	0	1.0	0	0	3/4	1	2	1/4	1/4	1		2	62	D4	4	3
1	1	0	0	1.0	0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	1	1	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		4	52	E3	3	10
1	1	1	1	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	7
1	1	1	1	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	4
1	1	1	1	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	1
1	1	2	2	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	11
1	1	2	2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	8
1	1	2	2	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		6	66	F#4	4	5
1	1	2	2	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	2
2	2	3	3	1.5	0	0	3/4	2	2	3/8	1/4	3/2		1	55	G3	3	19
2	2	3	3	1.5	0	0	3/4	2	1	3/8	1/4	3/2		2	62	D4	4	16
2	2	3	3	3.0	0	0	3/4	1	2	3/4	1/2	3/2		1	67	G4	4	15
2	2	3	3	1.5	0	0	3/4	1	1	3/8	1/4	3/2		5	71	B4	4	12
2	2	9/2	9/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		3	57	A3	3	20
2	2	9/2	9/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		0	60	C4	4	17
2	2	9/2	9/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	13
