mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	4
1	0	0	0	0.5	0	3/4	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	6
1	0	0	0	0.5	0	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	2
1	0	0	0	0.5	0	3/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	0
1	0	1/2	1/2	0.5	1/8	7/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	7
1	0	1/2	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	5
1	0	1/2	1/2	0.5	1/8	7/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	3
1	0	1/2	1/2	0.5	1/8	7/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	1
2	1	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	21
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	16
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	12
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	8
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	22
2	1	2	2	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	17
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	13
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	9
2	1	5/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	18
2	1	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	23
