mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	2	1/4	1/4	1		4	40	E2	2	13
1	1	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	9
1	1	0	0	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	4
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
1	1	1	1	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	14
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	10
1	1	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	5
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	1
1	1	2	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		4	52	E3	3	15
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	11
1	1	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	6
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	2
1	1	5/2	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	16
1	1	3	3	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	17
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	12
1	1	3	3	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	7
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	3
1	1	7/2	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	18
1	1	7/2	7/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	8
2	2	4	4	1.0	0	0	4/4	2	2	1/4	1/4	1		0	48	C3	3	30
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	26
2	2	4	4	0.5	0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4	22
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	19
2	2	9/2	9/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	23
2	2	5	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	31
2	2	5	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		6	54	F#3	3	27
2	2	5	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	24
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	20
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		4	52	E3	3	28
2	2	6	6	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		5	47	B2	2	32
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	54	F#3	3	29
2	2	6	6	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		9	63	D#4	4	25
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	21
3	3	8	8	1.0	0	0	4/4	2	2	1/4	1/4	1		1	43	G2	2	48
3	3	8	8	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	43
3	3	8	8	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	37
3	3	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	33
3	3	17/2	17/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	44
3	3	17/2	17/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	38
3	3	9	9	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	49
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	45
3	3	9	9	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		5	71	B4	4	39
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	34
