mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	2	1/4	1/4	1		0	48	C3	3	13
1	1	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	9
1	1	0	0	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	4
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	1	1	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		0	48	C3	3	14
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	10
1	1	1	1	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		0	60	C4	4	5
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	1
1	1	3/2	3/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	15
1	1	3/2	3/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	6
1	1	2	2	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	45	A2	2	16
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	11
1	1	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	7
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	2
1	1	3	3	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		8	44	G#2	2	17
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	12
1	1	3	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	8
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	3
2	2	4	4	0.5	0	0	4/4	2	2	1/8	1/8	1		3	45	A2	2	28
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	25
2	2	4	4	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	21
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	18
2	2	9/2	9/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	29
2	2	5	5	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		0	48	C3	3	30
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	26
2	2	5	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	22
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	19
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	31
2	2	6	6	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	32
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	27
2	2	6	6	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	23
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	20
2	2	7	7	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	24
3	3	8	8	1.0	0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	51
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	44
3	3	8	8	0.5	0	0	4/4	1	1	1/8	1/8	1		3	69	A4	4	33
3	3	8	8	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	38
3	3	17/2	17/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	34
3	3	9	9	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	52
3	3	9	9	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	45
3	3	9	9	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	39
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	35
3	3	19/2	19/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	46
3	3	19/2	19/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	40
3	3	10	10	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	D3	3	53
3	3	10	10	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		1	55	G3	3	47
3	3	10	10	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	41
3	3	10	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	36
3	3	21/2	21/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	54
3	3	21/2	21/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	48
3	3	11	11	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	55
3	3	11	11	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	49
3	3	11	11	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	42
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	37
3	3	23/2	23/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		4	52	E3	3	50
3	3	23/2	23/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		1	55	G3	3	43
