mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	3
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	2
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
2	1	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	20
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	15
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	9
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	4
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	21
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	16
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	10
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-3	63	Eb4	4	5
2	1	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-4	56	Ab3	3	22
2	1	3	3	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		0	60	C4	4	11
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	17
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	6
2	1	7/2	7/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	12
2	1	4	4	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	23
2	1	4	4	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	18
2	1	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	13
2	1	4	4	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	7
2	1	9/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3	24
2	1	9/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-4	56	Ab3	3	19
2	1	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	14
2	1	9/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		-1	65	F4	4	8
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	33
3	2	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	38
3	2	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		0	60	C4	4	29
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		-3	63	Eb4	4	25
3	2	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	39
3	2	6	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	34
3	2	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		5	59	B3	3	30
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	26
3	2	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-1	53	F3	3	35
3	2	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	40
3	2	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-3	51	Eb3	3	36
3	2	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	55	G3	3	31
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	60	C4	4	27
3	2	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	37
3	2	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	60	C4	4	41
3	2	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	32
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	28
4	3	9	9	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	57
4	3	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	53
4	3	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	47
4	3	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	42
4	3	19/2	19/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		-4	56	Ab3	3	58
4	3	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	54
4	3	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	59
4	3	10	10	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	48
4	3	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	43
4	3	21/2	21/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	49
4	3	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	60
4	3	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	55
4	3	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	50
4	3	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	44
4	3	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	61
4	3	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	56
4	3	12	12	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	51
4	3	12	12	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	45
4	3	25/2	25/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	52
4	3	25/2	25/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		-1	65	F4	4	46
5	4	13	13	1.0	0	0	4/4	2	2	1/4	1/4	1		-4	56	Ab3	3	77
5	4	13	13	0.5	0	0	4/4	1	2	1/8	1/8	1		0	60	C4	4	67
5	4	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	73
5	4	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		-3	63	Eb4	4	62
5	4	27/2	27/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		5	59	B3	3	68
5	4	14	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-4	44	Ab2	2	78
5	4	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-4	56	Ab3	3	74
5	4	14	14	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		0	60	C4	4	69
5	4	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	63
5	4	29/2	29/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	70
5	4	15	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	43	G2	2	79
