mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	5
1	0	0	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	3
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	2
1	0	0	0	0.5	0	3/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	0
1	0	1/2	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	4
1	0	1/2	1/2	0.5	1/8	7/8	4/4	1	1	1/8	1/8	1		8	68	G#4	4	1
2	1	1	1	0.25	0	0	4/4	2	2	1/16	1/16	1		6	54	F#3	3	20
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	15
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	11
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	6
2	1	5/4	5/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		8	56	G#3	3	21
2	1	3/2	3/2	0.25	1/8	1/8	4/4	2	2	1/16	1/16	1		3	57	A3	3	22
2	1	7/4	7/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		5	59	B3	3	23
2	1	2	2	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	16
2	1	2	2	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		7	61	C#4	4	24
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		11	65	E#4	4	12
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	7
2	1	5/2	5/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	25
2	1	5/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	17
2	1	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	26
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	18
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	8
2	1	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	13
2	1	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	27
2	1	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	19
2	1	4	4	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	9
2	1	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	14
2	1	9/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		8	68	G#4	4	10
3	2	5	5	0.5	0	0	4/4	2	2	1/8	1/8	1		7	49	C#3	3	41
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	36
3	2	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	32
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	28
3	2	11/2	11/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	42
3	2	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	43
3	2	6	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	37
3	2	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		11	65	E#4	4	33
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	29
3	2	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	38
3	2	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	42	F#2	2	44
3	2	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	39
3	2	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		7	61	C#4	4	34
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	30
3	2	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	45
3	2	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	40
3	2	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	35
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	31
4	3	9	9	1.0	0	0	4/4	2	2	1/4	1/4	1		8	56	G#3	3	59
4	3	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	55
4	3	9	9	0.5	0	0	4/4	1	2	1/8	1/8	1		6	66	F#4	4	50
4	3	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	46
4	3	19/2	19/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		11	65	E#4	4	51
4	3	10	10	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	57	A3	3	60
4	3	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	56
4	3	10	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	52
4	3	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	47
4	3	21/2	21/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	59	B3	3	61
4	3	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	57
4	3	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		7	61	C#4	4	62
4	3	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		11	65	E#4	4	53
4	3	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		8	68	G#4	4	48
