mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	-2	4/4	1/4	3/4					firstMeasure	2
2	2	1	4.0	-2	4/4	1	0						3
3	3	5	4.0	-2	4/4	1	0						4
4	4	9	4.0	-2	4/4	1	0						5
5	5	13	4.0	-2	4/4	1	0				line		6
6	6	17	4.0	-2	4/4	1	0						7
7	7	21	4.0	-2	4/4	1	0						8
8	8	25	4.0	-2	4/4	1	0						9
9	9	29	4.0	-2	4/4	1	0				line		10
10	10	33	4.0	-2	4/4	1	0						11
11	11	37	4.0	-2	4/4	1	0						12
12	12	41	4.0	-2	4/4	1	0						13
13	13	45	3.0	-2	4/4	3/4	0			end		lastMeasure	-1
