mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	4	2	1/4	1/4	1		-2	34	Bb1	1	5
1	0	0	0	1.0	0	3/4	4/4	3	2	1/4	1/4	1		-2	46	Bb2	2	4
1	0	0	0	1.0	0	3/4	4/4	3	1	1/4	1/4	1		-2	58	Bb3	3	3
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		2	62	D4	4	2
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		-2	82	Bb5	5	0
2	1	1	1	1.0	0	0	4/4	4	2	1/4	1/4	1		-2	46	Bb2	2	27
2	1	1	1	1.0	0	0	4/4	3	2	1/4	1/4	1		-2	58	Bb3	3	23
2	1	1	1	1.0	0	0	4/4	3	1	1/4	1/4	1		2	62	D4	4	18
2	1	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		-1	65	F4	4	14
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		-2	70	Bb4	4	10
2	1	1	1	1.5	0	0	4/4	1	1	3/8	1/4	3/2		-1	77	F5	5	6
2	1	2	2	1.0	1/4	1/4	4/4	4	2	1/4	1/4	1		3	45	A2	2	28
2	1	2	2	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		3	57	A3	3	24
2	1	2	2	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		0	60	C4	4	19
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-1	65	F4	4	15
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	72	C5	5	11
2	1	5/2	5/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		-3	75	Eb5	5	7
2	1	3	3	1.0	1/2	1/2	4/4	4	2	1/4	1/4	1		-2	46	Bb2	2	29
2	1	3	3	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		-2	58	Bb3	3	20
2	1	3	3	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		-2	58	Bb3	3	25
2	1	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	65	F4	4	16
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	8
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	74	D5	5	12
2	1	4	4	1.0	3/4	3/4	4/4	4	2	1/4	1/4	1		1	43	G2	2	30
2	1	4	4	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		1	55	G3	3	26
2	1	4	4	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		-2	58	Bb3	3	21
2	1	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-2	70	Bb4	4	17
2	1	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-3	75	Eb5	5	13
