mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	3/4	4/4	3	2	1/4	1/4	1		3	33	A1	1	4
1	1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	3
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	2
1	1	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	1
1	1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	0
2	2	1	1	1.5	0	0	4/4	3	2	3/8	1/4	3/2		3	45	A2	2	24
2	2	1	1	1.5	0	0	4/4	2	2	3/8	1/4	3/2		3	57	A3	3	19
2	2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	15
2	2	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	9
2	2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	5
2	2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	16
2	2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	6
2	2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	10
2	2	5/2	5/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		8	44	G#2	2	25
2	2	5/2	5/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	20
2	2	3	3	0.5	1/2	1/2	4/4	3	2	1/8	1/8	1		3	45	A2	2	26
2	2	3	3	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		3	57	A3	3	21
2	2	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	17
2	2	3	3	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		5	71	B4	4	11
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	7
2	2	7/2	7/2	0.5	5/8	5/8	4/4	3	2	1/8	1/8	1		3	33	A1	1	27
2	2	7/2	7/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	22
2	2	7/2	7/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	12
2	2	4	4	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		5	35	B1	1	28
2	2	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	23
2	2	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	18
2	2	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		3	69	A4	4	13
2	2	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	8
