mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	0	4/4	3	2	1/8	1/8	1		1	43	G2	2	21
1	1	0	0	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	14
1	1	0	0	0.5	0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	9
1	1	0	0	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	4
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	0
1	1	1/2	1/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		3	45	A2	2	22
1	1	1/2	1/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	15
1	1	1/2	1/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	10
1	1	1/2	1/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	5
1	1	1	1	0.5	1/4	1/4	4/4	3	2	1/8	1/8	1		-2	46	Bb2	2	23
1	1	1	1	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	16
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	11
1	1	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	6
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	1
1	1	3/2	3/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		0	48	C3	3	24
1	1	3/2	3/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		0	60	C4	4	17
1	1	2	2	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		2	50	D3	3	25
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	12
1	1	2	2	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	62	D4	4	18
1	1	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	7
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	2
1	1	3	3	0.5	3/4	3/4	4/4	3	2	1/8	1/8	1		0	48	C3	3	26
1	1	3	3	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		0	60	C4	4	19
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	13
1	1	3	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	8
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	3
1	1	7/2	7/2	0.5	7/8	7/8	4/4	3	2	1/8	1/8	1		-2	46	Bb2	2	27
1	1	7/2	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	20
2	2	4	4	1.0	0	0	4/4	3	2	1/4	1/4	1		3	45	A2	2	46
2	2	4	4	1.0	0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3	42
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	37
2	2	4	4	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	32
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	28
2	2	9/2	9/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	33
