mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.5	0	0	4/4	3	2	3/8	1/4	3/2		4	40	E2	2	19
1	1	0	0	1.5	0	0	4/4	2	2	3/8	1/4	3/2		4	52	E3	3	15
1	1	0	0	1.5	0	0	4/4	2	1	3/8	1/4	3/2		5	59	B3	3	9
1	1	0	0	0.5	0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4	2
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	0
1	1	1/2	1/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	3
1	1	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1	1	1	67	G4	4	4
1	1	3/2	3/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		2	38	D2	2	20
1	1	3/2	3/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	16
1	1	3/2	3/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		0	60	C4	4	10
1	1	7/4	7/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		2	62	D4	4	11
1	1	2	2	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		0	36	C2	2	21
1	1	2	2	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	17
1	1	2	2	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4	12
1	1	2	2	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	1	67	G4	4	5
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	1
1	1	5/2	5/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	13
1	1	5/2	5/2	0.25	5/8	5/8	4/4	1	2	1/16	1/16	1		6	66	F#4	4	6
1	1	11/4	11/4	0.25	11/16	11/16	4/4	1	2	1/16	1/16	1		4	64	E4	4	7
1	1	3	3	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		2	38	D2	2	22
1	1	3	3	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	18
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	14
1	1	3	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	8
2	2	4	4	2.0	0	0	4/4	3	2	1/2	1/2	1		1	31	G1	1	37
2	2	4	4	2.0	0	0	4/4	2	2	1/2	1/2	1		1	43	G2	2	33
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	29
2	2	4	4	2.0	0	0	4/4	1	2	1/2	1/2	1		1	67	G4	4	26
