mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	3	3	1/4	1/4	1		3	33	A1	1	5
1	0	0	0	1.0	0	3/4	4/4	2	3	1/4	1/4	1		3	45	A2	2	4
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	3
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	2
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	0
2	1	1	1	0.5	0	0	4/4	3	3	1/8	1/8	1		2	38	D2	2	28
2	1	1	1	0.5	0	0	4/4	2	3	1/8	1/8	1		2	50	D3	3	23
2	1	1	1	0.5	0	0	4/4	2	1	1/8	1/8	1		2	62	D4	4	14
2	1	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		2	62	D4	4	19
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	10
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	6
2	1	3/2	3/2	0.5	1/8	1/8	4/4	3	3	1/8	1/8	1		7	37	C#2	2	29
2	1	3/2	3/2	0.5	1/8	1/8	4/4	2	3	1/8	1/8	1		7	49	C#3	3	24
2	1	3/2	3/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	15
2	1	2	2	1.0	1/4	1/4	4/4	3	3	1/4	1/4	1		5	35	B1	1	30
2	1	2	2	1.0	1/4	1/4	4/4	2	3	1/4	1/4	1		5	47	B2	2	25
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	20
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	16
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	11
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	7
2	1	3	3	1.0	1/2	1/2	4/4	3	3	1/4	1/4	1		3	33	A1	1	31
2	1	3	3	1.0	1/2	1/2	4/4	2	3	1/4	1/4	1		3	45	A2	2	26
2	1	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	21
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	17
2	1	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	12
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73	C#5	5	8
2	1	4	4	1.0	3/4	3/4	4/4	3	3	1/4	1/4	1		8	32	G#1	1	32
2	1	4	4	1.0	3/4	3/4	4/4	2	3	1/4	1/4	1		8	44	G#2	2	27
2	1	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		8	56	G#3	3	22
2	1	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	18
2	1	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	13
2	1	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	9
3	2	5	5	1.0	0	0	4/4	3	3	1/4	1/4	1		6	30	F#1	1	53
3	2	5	5	1.0	0	0	4/4	2	3	1/4	1/4	1		6	42	F#2	2	49
3	2	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	45
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	41
3	2	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	37
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	33
3	2	6	6	1.0	1/4	1/4	4/4	3	3	1/4	1/4	1		8	32	G#1	1	54
3	2	6	6	1.0	1/4	1/4	4/4	2	3	1/4	1/4	1		8	44	G#2	2	50
3	2	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		8	56	G#3	3	46
3	2	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	42
3	2	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	38
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	34
3	2	7	7	1.0	1/2	1/2	4/4	3	3	1/4	1/4	1		3	33	A1	1	55
3	2	7	7	1.0	1/2	1/2	4/4	2	3	1/4	1/4	1		3	45	A2	2	51
3	2	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	47
3	2	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	43
3	2	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	39
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73	C#5	5	35
3	2	8	8	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		7	37	C#2	2	52
3	2	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	48
3	2	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	44
3	2	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	40
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	36
4	3	9	9	0.5	0	0	4/4	3	2	1/8	1/8	1		6	42	F#2	2	73
4	3	9	9	0.5	0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	68
4	3	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	64
4	3	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	60
4	3	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	56
4	3	19/2	19/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		8	44	G#2	2	74
4	3	19/2	19/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	69
4	3	10	10	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		3	45	A2	2	75
4	3	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	70
4	3	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	65
4	3	10	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	61
4	3	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	57
4	3	11	11	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		2	38	D2	2	76
4	3	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	71
4	3	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	66	F#4	4	66
4	3	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	62
4	3	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	58
4	3	12	12	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		4	40	E2	2	77
4	3	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	72
4	3	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	67
4	3	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	63
4	3	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	59
5	4	13	13	3.0	0	0	4/4	3	2	3/4	1/2	3/2		3	33	A1	1	82
5	4	13	13	3.0	0	0	4/4	2	2	3/4	1/2	3/2		3	45	A2	2	81
5	4	13	13	3.0	0	0	4/4	2	1	3/4	1/2	3/2		4	64	E4	4	80
5	4	13	13	3.0	0	0	4/4	1	2	3/4	1/2	3/2		3	69	A4	4	79
5	4	13	13	3.0	0	0	4/4	1	1	3/4	1/2	3/2		7	73	C#5	5	78
6	4	16	16	0.5	0	3/4	4/4	3	2	1/8	1/8	1		4	40	E2	2	88
6	4	16	16	0.5	0	3/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	86
6	4	16	16	1.0	0	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	85
6	4	16	16	1.0	0	3/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	84
6	4	16	16	1.0	0	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	83
6	4	33/2	33/2	0.5	1/8	7/8	4/4	3	2	1/8	1/8	1		6	42	F#2	2	89
