mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	1/2	Tempo	4/4	1	1	0						𝅘𝅥=73.5	74.0	𝅘𝅥	73.5	0.0
1	0	0	0	1.0	0	1/2	Chord	4/4	1	1	1/4	1/4	1	0	Nicht	dass					
1	0	1	1	0.5	1/4	3/4	Chord	4/4	1	1	1/8	1/8	1	1	so	dir					
1	0	3/2	3/2	0.5	3/8	7/8	Chord	4/4	1	1	1/8	1/8	1	2							
1	0	0	0	1.0	0	1/2	Chord	4/4	1	2	1/4	1/4	1	3							
1	0	1	1	1.0	1/4	3/4	Chord	4/4	1	2	1/4	1/4	1	4							
1	0	0	0	1.0	0	1/2	Chord	4/4	2	1	1/4	1/4	1	5							
1	0	1	1	1.0	1/4	3/4	Chord	4/4	2	1	1/4	1/4	1	6							
1	0	0	0	1.0	0	1/2	Chord	4/4	2	2	1/4	1/4	1	7							
1	0	1	1	1.0	1/4	3/4	Chord	4/4	2	2	1/4	1/4	1	8							
1	0	0	0	1.0	0	1/2	Chord	4/4	3	2	1/4	1/4	1	9							
1	0	1	1	1.0	1/4	3/4	Chord	4/4	3	2	1/4	1/4	1	10							
2	1	2	2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	11	trau-	Gott					
2	1	3	3	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	12	-rig,	Glück,					
2	1	7/2	7/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	13							
2	1	4	4	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	14	nicht	Gut					
2	1	5	5	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	15	so	und					
2	1	11/2	11/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	16							
2	1	2	2	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	17							
2	1	5/2	5/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	18							
2	1	3	3	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	19							
2	1	4	4	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	20							
2	1	5	5	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	21							
2	1	11/2	11/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	22							
2	1	2	2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	23							
2	1	3	3	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	24							
2	1	4	4	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	25							
2	1	5	5	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	26							
