mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=76.46	76.0	𝅘𝅥	76.46	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0									
1	0	0	0	0.5	0	3/4	Chord	4/4	1	2	1/8	1/8	1	1									
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	1	2	1/8	1/8	1	2									
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	3									
1	0	0	0	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	4									
1	0	0	0	1.0	0	3/4	Chord	4/4	4	1	1/4	1/4	1	5									
1	0	0	0	1.0	0	3/4	Chord	4/4	5	1	1/4	1/4	1	6									
1	0	0	0	1.0	0	3/4	Chord	4/4	6	2	1/4	1/4	1	7									
1	0	0	0	1.0	0	3/4	Chord	4/4	7	1	1/4	1/4	1	8	Nun	der							
1	0	0	0	1.0	0	3/4	Chord	4/4	7	2	1/4	1/4	1	9									
1	0	0	0	1.0	0	3/4	Chord	4/4	8	1	1/4	1/4	1	10									
1	0	0	0	1.0	0	3/4	Chord	4/4	8	2	1/4	1/4	1	11									
1	0	0	0	1.0	0	3/4	Chord	4/4	9	2	1/4	1/4	1	12									
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	13									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	14									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	15									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	16									
2	1	1	1	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	17									
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	18									
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	19									
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	20									
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	21									
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	22									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	23									
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	24									
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	25									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	26									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	27									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	28									
2	1	1	1	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	29									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	30									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	31									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	32									
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	33									
2	1	1	1	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	34									
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	35									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	36									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	37									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	38									
2	1	1	1	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	39									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	40									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	41									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	42									
2	1	1	1	1.0	0	0	Chord	4/4	6	2	1/4	1/4	1	43									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	6	2	1/4	1/4	1	44									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	6	2	1/4	1/4	1	45									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	6	2	1/8	1/8	1	46									
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	6	2	1/8	1/8	1	47									
2	1	1	1	1.0	0	0	Chord	4/4	7	1	1/4	1/4	1	48	dan-	gro-							
2	1	2	2	1.0	1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	49	-ket	-sse							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	50	al-	Din-							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	51	-le	-ge							
2	1	1	1	1.0	0	0	Chord	4/4	7	2	1/4	1/4	1	52									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	7	2	1/4	1/4	1	53									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	7	2	1/4	1/4	1	54									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	7	2	1/8	1/8	1	55									
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	7	2	1/8	1/8	1	56									
2	1	1	1	0.5	0	0	Chord	4/4	8	1	1/8	1/8	1	57									
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	8	1	1/8	1/8	1	58									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	8	1	1/4	1/4	1	59									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	8	1	1/4	1/4	1	60									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	8	1	1/4	1/4	1	61									
2	1	1	1	1.0	0	0	Chord	4/4	8	2	1/4	1/4	1	62									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	8	2	1/4	1/4	1	63									
2	1	3	3	0.5	1/2	1/2	Chord	4/4	8	2	1/8	1/8	1	64									
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	8	2	1/8	1/8	1	65									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	8	2	1/8	1/8	1	66									
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	8	2	1/8	1/8	1	67									
2	1	1	1	1.0	0	0	Chord	4/4	9	2	1/4	1/4	1	68									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	9	2	1/4	1/4	1	69									
2	1	3	3	0.5	1/2	1/2	Chord	4/4	9	2	1/8	1/8	1	70									
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	9	2	1/8	1/8	1	71									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	9	2	1/8	1/8	1	72									
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	9	2	1/8	1/8	1	73									
3	2	5	5	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	74									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	75									
3	2	5	5	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	76									
3	2	8	8	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	77									
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	78									
3	2	5	5	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	79									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	80									
