mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	0	1. O	O	16. O	O						0
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	1										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2	E-	E-	E-	E-						
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3	-wig-	-wig-	-wig-	-wig-						
1	1	0	0	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	4										1
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	5										1
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	6										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	7										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	8										
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	9										2
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	10										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	11										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	12										
1	1	0	0	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	13										
1	1	1	1	2.0	1/4	1/4	Chord	4/4	2	2	1/2	1/2	1	14										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	15										
1	1	0	0	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	16										
1	1	1	1	2.0	1/4	1/4	Chord	4/4	3	2	1/2	1/2	1	17										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	18										
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	19	-keit,	-keit,	-keit,	-keit,						
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	20	du	Zeit	du	Zeit						
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	21	Don-	oh-	Don-	oh-						
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	22	-ner-	-ne	-ner-	-ne						
2	2	4	4	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	23										
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	24										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	25										
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	26										
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	27										
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	28										
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	29										
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	30										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	31										
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	32										
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	33										
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	34										
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	35										
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	36										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	37										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	38										
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	39										
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	40										
2	2	4	4	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	41										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	42										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	43										
2	2	7	7	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	44										
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	45										
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	46	-wort!	Zeit!	-wort!	Zeit!						
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	47	O	Ich	O	Ich						3
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	48										
3	3	8	8	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	49										
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	50										4
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	51										
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	52										
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	53										5
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	54										
3	3	8	8	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	55										
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	56										
3	3	8	8	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	57										
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	58										
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	59	Schwert,	weiss	Schwert,	weiss						
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	60	das	vor	das	vor						
