mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	3	0.8	1.6
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	4	0.8	1.6
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	2	0.8	1.6
1	0	1	0a	0	0	0.5	0	3/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	0	0.8	1.3
1	0	1	0a	1/2	1/2	0.5	1/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	1	1.3	1.6
2	1	2	1a	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	20	1.6	2.36
2	1	2	1a	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	14	1.6	2.36
2	1	2	1a	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	9	1.6	2.36
2	1	2	1a	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	5	1.6	2.36
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	15	2.36	3.0
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	21	2.36	3.0
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	10	2.36	3.0
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	6	2.36	3.0
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	D3	3	22	3.0	3.38
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		6	54	F#3	3	16	3.0	3.38
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	11	3.0	3.66
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	7	3.0	3.66
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	23	3.38	3.66
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	17	3.38	3.66
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	24	3.66	3.98
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	18	3.66	3.98
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	12	3.66	3.98
