mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1a	0	0	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	14
1	1	1	1a	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	9
1	1	1	1a	0	0	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	4
1	1	1	1a	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
1	1	1	1a	1/2	1/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	15
1	1	1	1a	1	1	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	16
1	1	1	1a	1	1	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	10
1	1	1	1a	1	1	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	5
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	1
1	1	1	1a	3/2	3/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	17
1	1	1	1a	3/2	3/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		6	66	F#4	4	11
1	1	1	1a	3/2	3/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	6
1	1	1	1a	2	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		4	52	E3	3	18
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	12
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	7
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	2
1	1	1	1a	5/2	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	19
1	1	1	1a	3	3	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		0	48	C3	3	20
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	13
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	8
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	3
1	1	1	1a	7/2	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	21
2	2	2	2a	4	4	1.0	0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	35
2	2	2	2a	4	4	0.5	0	0	4/4	2	1	1/8	1/8	1		4	64	E4	4	30
2	2	2	2a	4	4	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	25
2	2	2	2a	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	22
2	2	2	2a	9/2	9/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	31
2	2	2	2a	9/2	9/2	0.25	1/8	1/8	4/4	1	2	1/16	1/16	1		6	66	F#4	4	26
2	2	2	2a	19/4	19/4	0.25	3/16	3/16	4/4	1	2	1/16	1/16	1		4	64	E4	4	27
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	36
2	2	2	2a	5	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	32
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	28
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	23
2	2	2	2a	11/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	33
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		1	43	G2	2	37
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	34
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		1	67	G4	4	29
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	24
3	3	3	3a	8	8	0.5	0	0	4/4	2	2	1/8	1/8	1		1	43	G2	2	51
3	3	3	3a	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	47
3	3	3	3a	8	8	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	42
3	3	3	3a	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	38
3	3	3	3a	17/2	17/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	52
3	3	3	3a	9	9	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	53
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	48
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	43
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	39
3	3	3	3a	19/2	19/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	54
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	55
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	49
3	3	3	3a	10	10	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		1	67	G4	4	44
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	40
3	3	3	3a	21/2	21/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	45
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	56
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	50
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	46
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	41
4	4	4	4a	12	12	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	74
4	4	4	4a	12	12	0.5	0	0	4/4	2	1	1/8	1/8	1		4	64	E4	4	67
4	4	4	4a	12	12	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	60
4	4	4	4a	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	57
4	4	4	4a	25/2	25/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	75
4	4	4	4a	25/2	25/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	68
4	4	4	4a	13	13	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	76
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	69
4	4	4	4a	13	13	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		3	69	A4	4	61
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	58
4	4	4	4a	27/2	27/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	77
4	4	4	4a	27/2	27/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	62
4	4	4	4a	14	14	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	78
4	4	4	4a	14	14	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4	70
4	4	4	4a	14	14	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		1	67	G4	4	63
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	59
4	4	4	4a	29/2	29/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	71
4	4	4	4a	29/2	29/2	0.25	5/8	5/8	4/4	1	2	1/16	1/16	1		6	66	F#4	4	64
4	4	4	4a	59/4	59/4	0.25	11/16	11/16	4/4	1	2	1/16	1/16	1		4	64	E4	4	65
4	4	4	4a	15	15	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	79
4	4	4	4a	15	15	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	72
4	4	4	4a	15	15	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	66
4	4	4	4a	31/2	31/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	73
5	5	5	5a	16	16	4.0	0	0	4/4	2	2	1	1	1		1	43	G2	2	83
5	5	5	5a	16	16	4.0	0	0	4/4	2	1	1	1	1		5	59	B3	3	82
5	5	5	5a	16	16	4.0	0	0	4/4	1	2	1	1	1		2	62	D4	4	81
5	5	5	5a	16	16	4.0	0	0	4/4	1	1	1	1	1		1	67	G4	4	80
1	1	6	1b	20	0	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	14
1	1	6	1b	20	0	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	9
1	1	6	1b	20	0	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	4
1	1	6	1b	20	0	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
1	1	6	1b	41/2	1/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	15
1	1	6	1b	21	1	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	16
1	1	6	1b	21	1	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	10
1	1	6	1b	21	1	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	5
1	1	6	1b	21	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	1
