mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	3	0.9	1.88
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	2	0.9	1.88
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	1	0.9	1.88
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0	0.9	1.88
2	1	2	1a	1	1	0.5	0	0	4/4	2	2	1/8	1/8	1		0	60	C4	4	17	1.88	2.16
2	1	2	1a	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	13	1.88	2.56
2	1	2	1a	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	8	1.88	2.56
2	1	2	1a	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	4	1.88	2.56
2	1	2	1a	3/2	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	18	2.16	2.56
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	19	2.56	3.26
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	14	2.56	3.26
2	1	2	1a	2	2	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	9	2.56	2.94
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	5	2.56	3.26
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	10	2.94	3.26
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		1	55	G3	3	20	3.26	3.46
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	15	3.26	3.96
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	11	3.26	3.96
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	6	3.26	3.96
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3	21	3.46	3.96
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	22	3.96	4.76
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	16	3.96	4.76
