mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1a	0	0	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	13
1	1	1	1a	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	9
1	1	1	1a	0	0	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	4
1	1	1	1a	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
1	1	1	1a	1/2	1/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	14
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	15
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	10
1	1	1	1a	1	1	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	5
1	1	1	1a	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	1
1	1	1	1a	3/2	3/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	6
1	1	1	1a	2	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		0	48	C3	3	16
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	11
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	7
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	2
1	1	1	1a	5/2	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	17
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	18
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	12
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	8
1	1	1	1a	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	3
2	2	2	2a	4	4	1.0	0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	28
2	2	2	2a	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	24
2	2	2	2a	4	4	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	21
2	2	2	2a	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	19
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	29
2	2	2	2a	5	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	25
2	2	2	2a	5	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		9	63	D#4	4	22
2	2	2	2a	11/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	26
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	30
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	27
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		5	59	B3	3	23
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	20
3	3	3	3a	8	8	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	45
3	3	3	3a	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	40
3	3	3	3a	8	8	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	35
3	3	3	3a	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	31
3	3	3	3a	17/2	17/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	46
