mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									𝅘𝅥=88.7	89.0	𝅘𝅥	88.7	0.0	
1	1	0	0	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	0	1*. Freu	weil	10. Freu	weil							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	1	dich	dich	dich	dich							
1	1	0	0	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	2											
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	3											
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	4											
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	5											
1	1	0	0	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	6											0
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	7											
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	8											
2	2	3	3	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	9	sehr,	nun	sehr,	nun							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	10	o	Chri-	o	Chri-							
2	2	3	3	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	11											
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	12											
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	13											
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	14											
2	2	3	3	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	15											
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	16											
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	17	mei-	-stus,	mei-	-stus,							
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	18	-ne	dein	-ne	dein							
