mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0	
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0						Sopr. I u II.						
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0	Un-	lass							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1	-ter	den							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2	dei-	Sa-							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3	-nem	-tan							
1	1	0	0	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	4									
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	5									
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	6									
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	7									
1	1	0	0	0.0	0	0	StaffText	4/4	2	1	0						Ten.						
1	1	0	0	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	8									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	9									
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	10									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	11									
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	12									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	13									
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	14									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	15									
1	1	0	0	0.0	0	0	StaffText	4/4	2	2	0						Bass.						
1	1	0	0	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	16									
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	17									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	18									
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	19									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	20									
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	21	Schir-	wit-							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	22	-men	-tern,							
2	2	4	4	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	23									0
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	24									
