mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	Was	wie						
1	0	0	0	0.5	0	3/4	Chord	4/4	1	2	1/8	1/8	1	1								
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	1	2	1/8	1/8	1	2								
1	0	0	0	0.5	0	3/4	Chord	4/4	2	1	1/8	1/8	1	3								
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	2	1	1/8	1/8	1	4								
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	5								
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	6	Gott	er						
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	7	thut,	fängt						
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	8	das	mei-						
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	9	ist	-ne						0
2	1	9/2	9/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	10								0
2	1	19/4	19/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	11								
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	12								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	13								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	14								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	15								
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	16								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	17								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	18								
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	19								
