mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0	Al-	was					
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1	-le	da					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2	Men-	le-					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3	-schen	-bet					
1	1	0	0	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	4							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	5							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	6							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	7							
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	8							
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	9							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	10							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	11							
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	12							
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	13							
1	1	0	0	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	14							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	15							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	16							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	17							
2	2	4	4	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	18	müs-	muss					
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	19	-sen	ver-					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	20	ster-	-der-					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	21	-ben,	-ben,					
2	2	4	4	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	22							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	23							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	24							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	25							
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	26							
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	27							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	28							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	29							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	30							
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	31							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	32							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	33							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	34							
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	35	al-	soll					
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	36	-les	es					
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	37	Fleisch	an-					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	38	ver-	-ders					
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	39							
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	40							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	41							
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	42							
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	43							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	44							
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	45							
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	46							
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	47							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	48							
3	3	8	8	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	49							
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	50							
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	51							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	52							
4	4	12	12	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	53	-geht	wer-					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	54	wie	-den					
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	55	Heu,	neu.					
4	4	12	12	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	56							
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	57							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	58							
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	59							
4	4	13	13	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	60							
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	61							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	62							
4	4	12	12	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	63							
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	64							
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	65							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	66							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	67							
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	68		Die-					
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	69		-ser					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	70		Leib					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	71							
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	72		der					
5	5	16	16	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	73							
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	74							
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	75							
